Fingerprint; Model; Time; X; Y; Z; Magnitude
51; ONEPLUS A6003; 2018-09-29 15:22:31; -7.0006027; -14.309687; -11.935951; 19.905840667396625
52; ONEPLUS A6003; 2018-09-29 15:22:31; -7.1321487; -14.082193; -12.006264; 19.83245095392508
53; ONEPLUS A6003; 2018-09-29 15:22:31; -6.814459; -14.202961; -12.645172; 20.200528219134053
54; ONEPLUS A6003; 2018-09-29 15:22:31; -6.686367; -14.205423; -12.389862; 20.00025634601342
55; ONEPLUS A6003; 2018-09-29 15:22:31; -6.7491455; -14.146883; -11.878937; 19.66708933920248
56; ONEPLUS A6003; 2018-09-29 15:22:32; -7.2003403; -13.856272; -12.141029; 19.779932445260336
57; ONEPLUS A6003; 2018-09-29 15:22:32; -6.6824493; -14.31686; -11.874016; 19.764105672832127
58; ONEPLUS A6003; 2018-09-29 15:22:32; -7.066265; -14.195883; -11.939087; 19.84935713719126
59; ONEPLUS A6003; 2018-09-29 15:22:32; -7.1301937; -14.137911; -11.748344; 19.716586276890393
60; ONEPLUS A6003; 2018-09-29 15:22:32; -7.0757065; -13.8604355; -12.846283; 20.17930337419924
61; ONEPLUS A6003; 2018-09-29 15:22:33; -6.871481; -14.481689; -12.251625; 20.175204568839725
62; ONEPLUS A6003; 2018-09-29 15:22:33; -6.8698654; -14.480896; -11.803383; 19.90505570642246
63; ONEPLUS A6003; 2018-09-29 15:22:33; -6.3680954; -14.269224; -12.582291; 20.061840581306733
64; ONEPLUS A6003; 2018-09-29 15:22:33; -7.323021; -14.134562; -12.323402; 20.131534629119496
65; ONEPLUS A6003; 2018-09-29 15:22:33; -7.1375656; -13.91481; -12.651955; 20.11563404196239
66; ONEPLUS A6003; 2018-09-29 15:22:34; -6.435936; -13.873079; -11.761871; 19.293139187974635
67; ONEPLUS A6003; 2018-09-29 15:22:34; -7.1308823; -14.138254; -11.940445; 19.832143966958586
68; ONEPLUS A6003; 2018-09-29 15:22:34; -7.060507; -14.646519; -12.62925; 20.58808397253509
69; ONEPLUS A6003; 2018-09-29 15:22:34; -6.8749313; -14.256657; -12.066643; 19.902783437856595
70; ONEPLUS A6003; 2018-09-29 15:22:34; -7.1880264; -14.58709; -12.43808; 20.473317715535263
71; ONEPLUS A6003; 2018-09-29 15:22:35; -6.811693; -14.201601; -11.8767395; 19.726671565292555
72; ONEPLUS A6003; 2018-09-29 15:22:35; -7.121208; -14.586958; -11.541992; 19.9175431871335
73; ONEPLUS A6003; 2018-09-29 15:22:35; -6.6870575; -14.092396; -12.009209; 19.68586922809417
74; ONEPLUS A6003; 2018-09-29 15:22:35; -7.063616; -14.36463; -12.061829; 20.043077996803223
75; ONEPLUS A6003; 2018-09-29 15:22:35; -7.3773975; -14.695404; -12.625359; 20.73114995877656
76; ONEPLUS A6003; 2018-09-29 15:22:36; -6.878731; -14.088476; -12.2640915; 19.905025809835927
77; ONEPLUS A6003; 2018-09-29 15:22:36; -7.0762844; -13.804033; -12.719986; 20.06048745016634
78; ONEPLUS A6003; 2018-09-29 15:22:36; -7.195736; -14.080736; -12.005852; 19.854123457400952
79; ONEPLUS A6003; 2018-09-29 15:22:36; -7.194927; -14.137022; -12.068092; 19.93141315784583
80; ONEPLUS A6003; 2018-09-29 15:22:36; -7.003601; -14.197796; -12.195656; 19.98404056844877
81; ONEPLUS A6003; 2018-09-29 15:22:37; -7.128006; -14.306887; -11.9991455; 19.986870079778313
82; ONEPLUS A6003; 2018-09-29 15:22:37; -7.060623; -14.476522; -11.802116; 19.96777494196117
83; ONEPLUS A6003; 2018-09-29 15:22:37; -7.3878784; -14.077045; -12.388786; 20.15504856521104
84; ONEPLUS A6003; 2018-09-29 15:22:37; -7.3889084; -13.907503; -11.81781; 19.689470077520973
85; ONEPLUS A6003; 2018-09-29 15:22:37; -7.06419; -14.308229; -11.935524; 19.926989998991868
86; ONEPLUS A6003; 2018-09-29 15:22:38; -6.9438133; -14.031073; -12.393524; 19.967148312133858
87; ONEPLUS A6003; 2018-09-29 15:22:38; -7.192627; -14.249256; -12.000488; 19.969650128871343
88; ONEPLUS A6003; 2018-09-29 15:22:38; -6.9451923; -13.918386; -12.204971; 19.77165946668125
89; ONEPLUS A6003; 2018-09-29 15:22:38; -7.2613907; -13.966932; -12.008987; 19.79946383896662
90; ONEPLUS A6003; 2018-09-29 15:22:38; -6.943472; -14.087587; -12.583855; 20.125241106377924
91; ONEPLUS A6003; 2018-09-29 15:22:39; -7.1290455; -14.36408; -12.5737; 20.37763520032248
92; ONEPLUS A6003; 2018-09-29 15:22:39; -7.119711; -14.642902; -11.41214; 19.88320465600498
93; ONEPLUS A6003; 2018-09-29 15:22:39; -7.4498444; -14.074793; -11.940117; 19.903928804031064
94; ONEPLUS A6003; 2018-09-29 15:22:39; -6.8799973; -14.032417; -12.32991; 19.90652594981417
95; ONEPLUS A6003; 2018-09-29 15:22:39; -6.8196373; -13.808729; -12.081314; 19.57413105211346
96; ONEPLUS A6003; 2018-09-29 15:22:40; -7.194008; -14.249937; -12.384735; 20.203863639339662
97; ONEPLUS A6003; 2018-09-29 15:22:40; -7.1288166; -14.363968; -12.509644; 20.3380135741566
98; ONEPLUS A6003; 2018-09-29 15:22:40; -7.258629; -14.078938; -11.813309; 19.760021130013847
99; ONEPLUS A6003; 2018-09-29 15:22:40; -7.2528763; -14.529572; -12.503471; 20.495107671748457
100; ONEPLUS A6003; 2018-09-29 15:22:40; -7.2610493; -14.136814; -12.772064; 20.388673278241402
