Fingerprint; Model; Time; X; Y; Z; Magnitude
1; SM-A520F; 2018-09-29 15:21:37; 15.42; 1.26; -20.82; 25.939089512665895
2; SM-A520F; 2018-09-29 15:21:37; 15.48; 1.14; -20.82; 25.969257666517926
3; SM-A520F; 2018-09-29 15:21:37; 15.42; 1.3199999; -21.06; 26.135079077715403
4; SM-A520F; 2018-09-29 15:21:37; 14.88; 1.4399999; -21.06; 25.826567651929427
5; SM-A520F; 2018-09-29 15:21:38; 14.759999; 1.74; -21.06; 25.77612756876809
6; SM-A520F; 2018-09-29 15:21:38; 14.82; 1.68; -21.0; 25.75761582424155
7; SM-A520F; 2018-09-29 15:21:38; 14.5199995; 1.74; -21.0; 25.590192871320962
8; SM-A520F; 2018-09-29 15:21:38; 14.88; 1.68; -21.24; 25.987966246869675
9; SM-A520F; 2018-09-29 15:21:38; 14.88; 1.68; -21.06; 25.841059884930466
10; SM-A520F; 2018-09-29 15:21:38; 14.82; 1.92; -20.64; 25.48192239884238
11; SM-A520F; 2018-09-29 15:21:39; 14.82; 1.8; -20.58; 25.424571057867674
12; SM-A520F; 2018-09-29 15:21:39; 14.82; 1.56; -20.22; 25.11800761685976
13; SM-A520F; 2018-09-29 15:21:39; 15.179999; 1.4399999; -20.64; 25.661558096983196
14; SM-A520F; 2018-09-29 15:21:39; 15.299999; 1.1999999; -20.82; 25.865080327945897
15; SM-A520F; 2018-09-29 15:21:39; 15.24; 1.38; -20.82; 25.838622242953715
16; SM-A520F; 2018-09-29 15:21:39; 14.94; 1.26; -21.18; 25.949635950375704
17; SM-A520F; 2018-09-29 15:21:39; 14.7; 1.26; -20.82; 25.51764023923267
18; SM-A520F; 2018-09-29 15:21:40; 14.7; 1.68; -21.24; 25.88532379154197
19; SM-A520F; 2018-09-29 15:21:40; 15.0; 1.4399999; -21.24; 26.042488007880987
20; SM-A520F; 2018-09-29 15:21:40; 15.42; 1.3199999; -21.18; 26.23187385709773
21; SM-A520F; 2018-09-29 15:21:40; 15.299999; 1.56; -21.48; 26.418060875652618
22; SM-A520F; 2018-09-29 15:21:40; 15.36; 1.38; -21.06; 26.102827528458842
23; SM-A520F; 2018-09-29 15:21:40; 15.48; 1.3199999; -20.82; 25.977781926265255
24; SM-A520F; 2018-09-29 15:21:41; 15.42; 1.86; -20.16; 25.449196865397344
25; SM-A520F; 2018-09-29 15:21:41; 15.599999; 2.04; -19.98; 25.43072914533284
26; SM-A520F; 2018-09-29 15:21:41; 15.78; 2.28; -20.279999; 25.79699803120268
27; SM-A520F; 2018-09-29 15:21:41; 15.599999; 2.6399999; -20.4; 25.816459148928253
28; SM-A520F; 2018-09-29 15:21:41; 15.48; 2.22; -20.939999; 26.135079077715403
29; SM-A520F; 2018-09-29 15:21:41; 15.54; 2.1; -21.3; 26.44979305655103
30; SM-A520F; 2018-09-29 15:21:42; 15.839999; 2.04; -21.24; 26.5745135976036
31; SM-A520F; 2018-09-29 15:21:42; 16.14; 2.1599998; -21.24; 26.763832580088376
32; SM-A520F; 2018-09-29 15:21:42; 15.9; 2.52; -20.82; 26.317916928678905
33; SM-A520F; 2018-09-29 15:21:42; 15.42; 2.34; -20.64; 25.870090774477145
34; SM-A520F; 2018-09-29 15:21:42; 15.24; 2.04; -20.64; 25.737691659755665
35; SM-A520F; 2018-09-29 15:21:42; 14.639999; 2.04; -20.88; 25.582524820116465
36; SM-A520F; 2018-09-29 15:21:42; 14.7; 2.04; -21.359999; 26.00963590033449
37; SM-A520F; 2018-09-29 15:21:43; 14.94; 1.68; -20.64; 25.5349874387299
38; SM-A520F; 2018-09-29 15:21:43; 14.82; 1.56; -20.699999; 25.505997494768266
39; SM-A520F; 2018-09-29 15:21:43; 15.179999; 1.4399999; -20.4; 25.468921347199682
40; SM-A520F; 2018-09-29 15:21:43; 15.42; 1.5; -19.859999; 25.188209996972045
41; SM-A520F; 2018-09-29 15:21:43; 15.48; 1.62; -20.82; 25.994752794584574
42; SM-A520F; 2018-09-29 15:21:43; 15.48; 1.86; -20.82; 26.01081271182597
43; SM-A520F; 2018-09-29 15:21:44; 15.12; 1.8; -20.699999; 25.6971663875915
44; SM-A520F; 2018-09-29 15:21:44; 15.059999; 1.86; -21.119999; 26.006105146346165
45; SM-A520F; 2018-09-29 15:21:44; 14.94; 2.1; -20.76; 25.663031514679584
46; SM-A520F; 2018-09-29 15:21:44; 15.059999; 2.22; -20.82; 25.791555705368474
47; SM-A520F; 2018-09-29 15:21:44; 15.42; 2.22; -20.939999; 26.099585331805322
48; SM-A520F; 2018-09-29 15:21:44; 15.54; 1.9799999; -21.06; 26.247581733847404
49; SM-A520F; 2018-09-29 15:21:44; 15.54; 1.92; -21.119999; 26.291298196168324
50; SM-A520F; 2018-09-29 15:21:45; 15.12; 1.74; -21.24; 26.130051703943895
51; SM-A520F; 2018-09-29 15:21:45; 14.639999; 1.62; -21.0; 25.650613627985344
52; SM-A520F; 2018-09-29 15:21:45; 14.58; 1.74; -20.58; 25.281225857528646
