scan; model; timestamp; text; twice recognized; locationID
1; ONEPLUS A6003; 2018-10-13 10:33:04; no Value detected; false; null; 
2; ONEPLUS A6003; 2018-10-13 10:33:04; Sole; false; null; 
3; ONEPLUS A6003; 2018-10-13 10:33:04; no Value detected; false; null; 
4; ONEPLUS A6003; 2018-10-13 10:33:04; no Value detected; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; un lugar de la Mancha,; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; de cuyo nombre no quiero acerdarme; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; sdil2 sb ndspvdineV moy; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; llkd sdsm eldain ub bowp bm oa e; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; helgar kir; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; m6gu Heimdallar:; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; vel framtelja; false; 31; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; forn spjöll fra,; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; v atd var Appodra; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; al Aloe,kexe, Maeoual ae; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; es phr oviaes 8auva,; false; null; 
5; ONEPLUS A6003; 2018-10-13 10:33:04; , edpov; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; En un lagar de La M; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; de cuyo nombre no quiero ac; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; u helgar kindir,; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; , eüpov; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; mögu Heimdallar; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; vel framtelja; true; 31; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; forn spjöll fira,; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; y aeávat AdpoStTa; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; al Aloe, 6okónAoxE, ceopai; false; null; 
6; ONEPLUS A6003; 2018-10-13 10:33:04; Hh p&eaies pht ôviaia &áuva,; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; dsp1sdu10; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; ro nombre no quiero acordarme..; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; En un lagar; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; noi ws ni paiob ana I 1L; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; onl i nbib I bmseuTsdseo; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; ilid tdsm a1doln 19 acb ,nsb1owop büm o2 Tlokóepov aBavar ApoSiTa,; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; e sn Hlj60s bis ek allar; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; ROtvIa, 8üuov.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; Rai Aioo, 6odónoxe, Alaoouai at; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; vel framtelja; true; 31; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; forn spjöll fira,; true; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; pau er fremst um man.; false; null; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; helgar kindir,; false; 31; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; meiri ok minni; false; 31; 
7; ONEPLUS A6003; 2018-10-13 10:33:05; mögu Heimdallar; true; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; dn-saa rd helgar kindir,; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; En un lugar de la Mancha,; false; 31; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; ro nombre no quiero acordarme; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; Hn H'aoaou unt' Öviatat Sauva; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; TOTVIa, 8üuov.; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; mögu Heimdallar:; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; vel framtelja; true; 31; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; forn spjöll fira,; true; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; bau er frem; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; dil2 19b ndspTsdinoV mov 1ai oila nisa; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; lid trlsm a1dsln 19 asb,ab1owsp büm o2 noukIAóepov' aBávaT Apobra,; false; null; 
8; ONEPLUS A6003; 2018-10-13 10:33:05; ioo, 6okdóRAoKE, Alaaoual oe; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; nesao 3i helgar kindir,; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; no wsA ni pniob 2nr I 1f meiri ok minni; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; En un lugar de la Mancha,; true; 31; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; de cuyo nombre no quiero acordarme..; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; sdil2 19b nd9p19dü1oV moy 12i ila nis2; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; lEd tifom aidbin 19 acb ,nsb1ows biüm o2 nouKIAó8pov à8ávat'Appobira,; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; t, Alaoouai at; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; Hh H'aoao Hnt ôvíaou 6áuva; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; ROTVIa, 8üov.; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; mögu Heimdallar; false; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; vel framtelja; true; 31; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; forn spjöll fira,; true; null; 
9; ONEPLUS A6003; 2018-10-13 10:33:05; pau er fremst um m; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; 19mimue rnle 1590ps 28 t; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; e snt Hlj68s bid ek allar; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; tdnsao 31 helgar kindir,; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; ni pniob an I1u meiri ok minni; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; En un lugar de la Mancha,; true; 31; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; vo nombre no quiero acordarme..; false; null; 
10; ONEPLUS A6003; 2018-10-13 10:33:05; sdil2 19b ndsp19di1oV moy 12i ila nis2; false; null; 
