scan; model; timestamp; text; twice recognized; locationID
1; SM-A520F; 2018-10-13 10:28:50; töliliv dd&lsps; false; null; 
1; SM-A520F; 2018-10-13 10:28:50; Aüinlspe919 noillsx 9n; false; null; 
1; SM-A520F; 2018-10-13 10:28:50; C; false; null; 
2; SM-A520F; 2018-10-13 10:28:50; t6tlliv ddilspaJ; false; null; 
2; SM-A520F; 2018-10-13 10:28:50; Aüinlspe9191 no(llsx 9n; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; DET 314 ORDERSEITE; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; tštllsv dd&lspsI; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; üinlöpas19 noills en; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; Avbpa uou EvveTe, Moùaa, ToAuTpoTOV, ös Háda ToAd; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; Aáyx8n, énci Tpoins iepov TtOAiE8pov ÉTepae; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; üv 6 av8púrav toev aorea Koai vóov Eyvo,; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; rola 6 6 y iv nóvty v alyea ôv KaTa Buóv,; false; null; 
3; SM-A520F; 2018-10-13 10:28:51; apvievos hv Te uxnv kai vóoTov Eraipwv.; false; null; 
4; SM-A520F; 2018-10-13 10:28:51; 1STISV dd; false; null; 
4; SM-A520F; 2018-10-13 10:28:51; sp2919 nsilsi sn; false; null; 
5; SM-A520F; 2018-10-13 10:28:52; 9p29191nsil; false; null; 
6; SM-A520F; 2018-10-13 10:28:52; no Value detected; false; null; 
7; SM-A520F; 2018-10-13 10:28:52; no Value detected; false; null; 
8; SM-A520F; 2018-10-13 10:28:53; i; false; null; 
9; SM-A520F; 2018-10-13 10:28:54; Iülapel; false; null; 
9; SM-A520F; 2018-10-13 10:28:54; lled an; false; null; 
10; SM-A520F; 2018-10-13 10:28:54; no Value detected; false; null; 
11; SM-A520F; 2018-10-13 10:28:55; mahan; false; null; 
11; SM-A520F; 2018-10-13 10:28:55; tekez; false; null; 
11; SM-A520F; 2018-10-13 10:28:55; ahteani laul; false; null; 
